tradingsymbol,name,instrument_type,segment
DHAMPURSUG,DHAMPUR SUGAR MILLS,EQ,NSE
ASTRON,ASTRON PAPER BORD MIL,EQ,NSE
DRREDDY,DR. REDDY S LABORATORIES,EQ,NSE
KHAICHEM,KHAITAN CHEM & FERT,EQ,NSE
EICHERMOT,EICHER MOTORS,EQ,NSE
EQUITASBNK,EQUITAS SMALL FIN BNK,EQ,NSE
EIDPARRY,EID PARRY INDIA,EQ,NSE
EIHOTEL,EIH - OBEROI HOTELS,EQ,NSE
ORCHPHARMA,ORCHID PHARMA,EQ,NSE
ELECTCAST,ELECTROSTEEL CASTINGS,EQ,NSE
DPABHUSHAN,D. P. ABHUSHAN,EQ,NSE
ELGIEQUIP,ELGI EQUIPMENTS,EQ,NSE
PGHL,PROCTER & GAMBLE HEALTH L,EQ,NSE
ESABINDIA,ESAB INDIA,EQ,NSE
ESCORTS,ESCORTS KUBOTA,EQ,NSE
SUBEXLTD,SUBEX,EQ,NSE
EVERESTIND,EVEREST INDUSTRIES,EQ,NSE
EUROTEXIND,EUROTEX INDUSTRIES,EQ,NSE
FACT,FACT,EQ,NSE
SCHAEFFLER,SCHAEFFLER INDIA,EQ,NSE
FEDERALBNK,FEDERAL BANK,EQ,NSE
AARON,AARON INDUSTRIES,EQ,NSE
FINCABLES,FINOLEX CABLES,EQ,NSE
FINPIPE,FINOLEX INDUSTRIES,EQ,NSE
AXISBNKETF,AXIS NIFTY BANK ETF,EQ,NSE
UFLEX,UFLEX,EQ,NSE
FOSECOIND,FOSECO INDIA,EQ,NSE
ZENSARTECH,ZENSAR TECHNOLOGIES ,EQ,NSE
GABRIEL,GABRIEL INDIA,EQ,NSE
GARFIBRES,GARWARE TECH FIBRES,EQ,NSE
DANGEE,DANGEE DUMS,EQ,NSE
GHCL,GHCL,EQ,NSE
GTECJAINX,G-TEC JAINX EDUCATION,EQ,NSE
APOLLO,APOLLO MICRO SYSTEMS,EQ,NSE
GICHSGFIN,GIC HOUSING FINANCE,EQ,NSE
GINNIFILA,GINNI FILAMENTS,EQ,NSE
GIPCL,GUJ IND POW CO.,EQ,NSE
GLAXO,GLAXOSMITHKLINE PHARMA LT,EQ,NSE
NEWGEN,NEWGEN SOFTWARE TECH,EQ,NSE
GMBREW,G M BREWERIES,EQ,NSE
GNFC,GUJ NAR VAL FER & CHEM L,EQ,NSE
GODFRYPHLP,GODFREY PHILLIPS INDIA LT,EQ,NSE
AMBER,AMBER ENTERPRISES (I),EQ,NSE
GLAND,GLAND PHARMA,EQ,NSE
FMGOETZE,FEDERAL-MOGUL GOETZE (IND,EQ,NSE
KANSAINER,KANSAI NEROLAC PAINTS,EQ,NSE
ESG,MIRAE ASSET NIFTY 100 ESG SECTOR LEADERS ETF,EQ,NSE
PRAXIS,PRAXIS HOME RETAIL,EQ,NSE
DELTAMAGNT,DELTA MANUFACTURING,EQ,NSE
GRASIM,GRASIM INDUSTRIES,EQ,NSE
GREAVESCOT,GREAVES COTTON,EQ,NSE
GSFC,GUJ STATE FERT & CHEM,EQ,NSE
CASTROLIND,CASTROL INDIA,EQ,NSE
GUJALKALI,GUJARAT ALKALIES & CHEM,EQ,NSE
AMBUJACEM,AMBUJA CEMENTS,EQ,NSE
HARRMALAYA,HARRISON MALAYALAM,EQ,NSE
GALAXYSURF,GALAXY SURFACTANTS,EQ,NSE
MARINE,MARINE ELECTRICAL (I),EQ,NSE
HDFCBANK,HDFC BANK,EQ,NSE
SDBL,SOM DIST & BREW,EQ,NSE
HEROMOTOCO,HERO MOTOCORP,EQ,NSE
HIMATSEIDE,HIMATSINGKA SEIDE,EQ,NSE
HINDALCO,HINDALCO  INDUSTRIES ,EQ,NSE
HINDCOMPOS,HINDUSTAN COMPOSITES,EQ,NSE
HCC,HINDUSTAN CONSTRUCTION CO,EQ,NSE
HINDUNILVR,HINDUSTAN UNILEVER,EQ,NSE
HINDOILEXP,HINDUSTAN OIL EXPLORATION,EQ,NSE
HINDPETRO,HINDUSTAN PETROLEUM CORP,EQ,NSE
AGI,AGI GREENPAC,EQ,NSE
GLOBAL,GLOBAL EDUCATION,EQ,NSE
HINDZINC,HINDUSTAN ZINC,EQ,NSE
SANOFI,SANOFI INDIA,EQ,NSE
BIRLANU,BIRLANU,EQ,NSE
ACCURACY,ACCURACY SHIPPING,EQ,NSE
AKZOINDIA,AKZO NOBEL INDIA,EQ,NSE
IDBI,IDBI BANK,EQ,NSE
REPL,RUDRABHISHEK ENTERP,EQ,NSE
IFBAGRO,IFB AGRO INDUSTRIES,EQ,NSE
IFBIND,IFB INDUSTRIES,EQ,NSE
IFCI,IFCI,EQ,NSE
RBA,RESTAURANT BRAND ASIA,EQ,NSE
SHIVAMILLS,SHIVA MILLS,EQ,NSE
MOGSEC,MOTILAL OSWAL NIFTY 5 YEAR BENCHMARK G-SEC ETF,EQ,NSE
ASTERDM,ASTER DM HEALTHCARE,EQ,NSE
INDHOTEL,THE INDIAN HOTELS CO.,EQ,NSE
INDIACEM,THE INDIA CEMENTS,EQ,NSE
INDIAGLYCO,INDIA GLYCOLS,EQ,NSE
INDIANHUME,INDIAN HUME PIPE CO.,EQ,NSE
RKEC,RKEC PROJECTS,EQ,NSE
RVHL,RAVINDER HEIGHTS,EQ,NSE
GMMPFAUDLR,GMM PFAUDLER,EQ,NSE
GILLETTE,GILLETTE INDIA,EQ,NSE
TARC,TARC,EQ,NSE
MGEL,MANGALAM GLOBAL ENT,EQ,NSE
INFY,INFOSYS,EQ,NSE
INGERRAND,INGERSOLL-RAND INDIA,EQ,NSE
AURIGROW,AURI GROW INDIA,EQ,NSE
FAIRCHEMOR,FAIRCHEM ORGANICS,EQ,NSE
TATAINVEST,TATA INVESTMENT CORP,EQ,NSE
IOC,INDIAN OIL CORP,EQ,NSE
LINDEINDIA,LINDE INDIA,EQ,NSE
BECTORFOOD,MRS BECTORS FOOD SPE,EQ,NSE
IONEXCHANG,ION EXCHANGE (INDIA),EQ,NSE
IPCALAB,IPCA LABORATORIES,EQ,NSE
SUNDROP,SUNDROP BRANDS,EQ,NSE
HGINFRA,H.G.INFRA ENGINEERING,EQ,NSE
JAYBARMARU,JAY BHARAT MARUTI,EQ,NSE
JAYSREETEA,JAYSHREE TEA & INDUSTRIES,EQ,NSE
JBCHEPHARM,J B CHEMICALS AND PHARMA,EQ,NSE
JINDALPOLY,JINDAL POLY FILMS,EQ,NSE
KANPRPLA,KANPUR PLASTIPACK,EQ,NSE
AWHCL,ANTONY WASTE HDG CELL,EQ,NSE
JYOTISTRUC,JYOTI STRUCTURES,EQ,NSE
KABRAEXTRU,KABRA EXTRUSION TECHNIK L,EQ,NSE
